% time	cellId	IMSI	RNTI	rsrp	sinr
2.34521	1	1	1	2.12761e-10	448540
2.34621	1	1	1	2.12898e-10	448828
2.34721	1	1	1	2.13035e-10	449116
2.34821	1	1	1	2.13172e-10	449405
2.34921	1	1	1	2.13308e-10	449694
2.35021	1	1	1	2.13446e-10	449983
2.35121	1	1	1	2.13583e-10	450272
2.35221	1	1	1	2.1372e-10	450561
2.35321	1	1	1	2.13857e-10	450851
2.35421	1	1	1	2.13995e-10	451140
2.35521	1	1	1	2.14132e-10	451430
2.35621	1	1	1	2.1427e-10	451720
2.35721	1	1	1	2.14407e-10	452010
2.35821	1	1	1	2.14545e-10	452301
2.35921	1	1	1	2.14683e-10	452591
2.36021	1	1	1	2.14821e-10	452882
2.36121	1	1	1	2.14959e-10	453173
2.36221	1	1	1	2.15097e-10	453464
2.36321	1	1	1	2.15235e-10	453755
2.36421	1	1	1	2.15373e-10	454047
2.36521	1	1	1	2.15512e-10	454338
2.36621	1	1	1	2.1565e-10	454630
2.36721	1	1	1	2.15788e-10	454922
2.36821	1	1	1	2.15927e-10	455214
2.36921	1	1	1	2.16066e-10	455506
2.37021	1	1	1	2.16204e-10	455799
2.37121	1	1	1	2.16343e-10	456092
2.37221	1	1	1	2.16482e-10	456384
2.37321	1	1	1	2.16621e-10	456677
2.37421	1	1	1	2.1676e-10	456971
2.37521	1	1	1	2.16899e-10	457264
2.37621	1	1	1	2.17039e-10	457558
2.37721	1	1	1	2.17178e-10	457851
2.37821	1	1	1	2.17317e-10	458145
2.37921	1	1	1	2.17457e-10	458439
2.38021	1	1	1	2.17596e-10	458734
2.38121	1	1	1	2.17736e-10	459028
2.38221	1	1	1	2.17876e-10	459323
2.38321	1	1	1	2.18016e-10	459618
2.38421	1	1	1	2.18156e-10	459913
2.38521	1	1	1	2.18296e-10	460208
2.38621	1	1	1	2.18436e-10	460503
2.38721	1	1	1	2.18576e-10	460799
2.38821	1	1	1	2.18716e-10	461094
2.38921	1	1	1	2.18857e-10	461390
2.39021	1	1	1	2.18997e-10	461686
2.39121	1	1	1	2.19137e-10	461982
2.39221	1	1	1	2.19278e-10	462279
2.39321	1	1	1	2.19419e-10	462575
2.39421	1	1	1	2.19559e-10	462872
2.39521	1	1	1	2.197e-10	463169
2.39621	1	1	1	2.19841e-10	463466
2.39721	1	1	1	2.19982e-10	463763
2.39821	1	1	1	2.20123e-10	464061
2.39921	1	1	1	2.20265e-10	464358
2.40021	1	1	1	2.20406e-10	464656
2.40121	1	1	1	2.20547e-10	464954
2.40221	1	1	1	2.20689e-10	465252
2.40321	1	1	1	2.2083e-10	465551
2.40421	1	1	1	2.20972e-10	465849
2.40521	1	1	1	2.21113e-10	466148
2.40621	1	1	1	2.21255e-10	466447
2.40721	1	1	1	2.21397e-10	466746
2.40821	1	1	1	2.21539e-10	467045
2.40921	1	1	1	2.21681e-10	467344
2.41021	1	1	1	2.21823e-10	467644
2.41121	1	1	1	2.21965e-10	467944
2.41221	1	1	1	2.22107e-10	468244
2.41321	1	1	1	2.2225e-10	468544
2.41421	1	1	1	2.22392e-10	468844
2.41521	1	1	1	2.22535e-10	469144
2.41621	1	1	1	2.22677e-10	469445
2.41721	1	1	1	2.2282e-10	469746
2.41821	1	1	1	2.22963e-10	470047
2.41921	1	1	1	2.23106e-10	470348
2.42021	1	1	1	2.23249e-10	470649
2.42121	1	1	1	2.23392e-10	470951
2.42221	1	1	1	2.23535e-10	471252
2.42321	1	1	1	2.23678e-10	471554
2.42421	1	1	1	2.23821e-10	471856
2.42521	1	1	1	2.23964e-10	472158
2.42621	1	1	1	2.24108e-10	472461
2.42721	1	1	1	2.24251e-10	472763
2.42821	1	1	1	2.24395e-10	473066
2.42921	1	1	1	2.24539e-10	473369
2.43021	1	1	1	2.24682e-10	473672
2.43121	1	1	1	2.24826e-10	473975
2.43221	1	1	1	2.2497e-10	474278
2.43321	1	1	1	2.25114e-10	474582
2.43421	1	1	1	2.25258e-10	474886
2.43521	1	1	1	2.25402e-10	475190
2.43621	1	1	1	2.25547e-10	475494
2.43721	1	1	1	2.25691e-10	475798
2.43821	1	1	1	2.25835e-10	476103
2.43921	1	1	1	2.2598e-10	476407
2.44021	1	1	1	2.26124e-10	476712
2.44121	1	1	1	2.26269e-10	477017
2.44221	1	1	1	2.26414e-10	477322
2.44321	1	1	1	2.26559e-10	477627
2.44421	1	1	1	2.26703e-10	477933
2.44521	1	1	1	2.26848e-10	478239
2.44621	1	1	1	2.26994e-10	478544
2.44721	1	1	1	2.27139e-10	478850
2.44821	1	1	1	2.27284e-10	479157
2.44921	1	1	1	2.27429e-10	479463
2.45021	1	1	1	2.27575e-10	479769
2.45121	1	1	1	2.2772e-10	480076
2.45221	1	1	1	2.27866e-10	480383
2.45321	1	1	1	2.28011e-10	480690
2.45421	1	1	1	2.28157e-10	480997
2.45521	1	1	1	2.28303e-10	481305
2.45621	1	1	1	2.28449e-10	481612
2.45721	1	1	1	2.28595e-10	481920
2.45821	1	1	1	2.28741e-10	482228
2.45921	1	1	1	2.28887e-10	482536
2.46021	1	1	1	2.29033e-10	482844
2.46121	1	1	1	2.29179e-10	483152
2.46221	1	1	1	2.29326e-10	483461
2.46321	1	1	1	2.29472e-10	483770
2.46421	1	1	1	2.29619e-10	484079
2.46521	1	1	1	2.29765e-10	484388
2.46621	1	1	1	2.29912e-10	484697
2.46721	1	1	1	2.30059e-10	485006
2.46821	1	1	1	2.30206e-10	485316
2.46921	1	1	1	2.30353e-10	485626
2.47021	1	1	1	2.305e-10	485936
2.47121	1	1	1	2.30647e-10	486246
2.47221	1	1	1	2.30794e-10	486556
2.47321	1	1	1	2.30941e-10	486867
2.47421	1	1	1	2.31088e-10	487177
2.47521	1	1	1	2.31236e-10	487488
2.47621	1	1	1	2.31383e-10	487799
2.47721	1	1	1	2.31531e-10	488110
2.47821	1	1	1	2.31679e-10	488421
2.47921	1	1	1	2.31826e-10	488733
2.48021	1	1	1	2.31974e-10	489045
